,0,1,2,3,4,5
78,6A,"18.0, CH3","1.28, d (6.1)","18.0, CH3","1.29, d (6.2)","1.28, d (6.1)"
79,"sugar B, β-d-olivose",,,,,
80,1B,"101.1, CH","4.50, dd (9.8, 1.8)","101.1, CH","4.51, dd (9.8, 1.6)","4.51, dd (9.6, 1.2)"
81,2B,"37.3, CH2","1.64, m (complex, Ha), 2.21, ddd (13.1, 3.8, 1.5, He)","37.3, CH2","1.63, m (complex, Ha) 2.22, ddd (10.5, 5.0, 1.5, He)","1.70−1.48, m (complex, Ha) 2.21, ddd (10.5, 5.0, 1.5, He)"
82,3B,"80.7, CH","3.48, ddd (12.2, 8.3, 5.2)","80.7, CH","3.47, ddd (12.2, 8.3, 5.2)","3.46, ddd (12.2, 8.3, 5.2)"
83,4B,"75.4, CH","3.07, dd (8.3, 8.1)","75.3, CH","3.07, dd (8.1, 8.2)","3.08, dd (8.4, 8.4)"
84,4B-OH,,"4.28, br s",,"4.36, br s","4.32, br s"
85,5B,"72.5, CH","3.40−3.31, m","72.4, CH","3.40−3.31, m","3.37, m"
86,6B,"18.0, CH3","1.35, d (6.1)","18.0, CH3","1.35, d (6.1)","1.36, d (6.1)"
87,"sugar C, α-l-rhodinose",,,,,
88,1C,"98.0, CH","4.94, br s","98.0, CH","4.94, br s","4.94, br s"
89,2C,"25.7, CH2","1.73, m (complex, Ha) 2.03, m (complex, He)","25.6, CH2","1.75, m (complex, Ha) 1.96, m (complex, He)","1.75, m (complex, Ha) 1.96, m (complex, He)"
90,3C,"25.3, CH2","1.52, m (complex, Ha) 2.11, m (complex, He)","25.2, CH2","1.52, m (complex, Ha) 2.11, m (complex, He)","1.70−1.48, m (complex,Ha) 2.12, m (complex, He)"
91,4C,"75.9, CH","3.51, br s","75.9, CH","3.51, br s","3.52, br s"
92,4C-OH,,n.o.,,n.o.,n.o.
93,5C,"67.9, CH","4.06, dq (6.6, 1.1)","67.8, CH","4.06, dq (6.4, 0.8)","4.06, q (6.6)"
94,6C,"17.2, CH3","1.18, d (6.6)","17.2, CH3","1.18, d (6.4)","1.19, d (6.4)"
95,"sugar D, β-d-olivose",,,,,
96,1D,"101.6, CH","4.46, dd (9.8, 1.0)","101.6, CH","4.46, br d (9.7)","4.47, dd (9.4, 1.2)"
97,2D,"38.5, CH2","1.64, m (complex, Ha)2.28, m (complex, He)","38.4, CH2","1.64, m (complex, Ha)2.28, ddd (11.8, 5.4, 1.5, He)","1.70−1.48, m (complex, Ha)2.29, ddd (11.8, 5.4, 1.5, He)"
98,3D,"69.7, CH","3.56, m","69.7, CH","3.46, m","3.57, m"
99,3D-OH,,"4.57, br s",,"4.61, br s","4.59, br s"
100,4D,"88.7, CH","2.95, dd (8.8, 8.8)","88.6, CH","2.95, dd (8.6, 8.6)","2.96, dd (8.7, 8.7)"
101,5D,"70.6, CH","3.27, m","70.4, CH","3.26, m","3.27, m"
102,6D,"18.0, CH3","1.23, d (6.1)","18.0, CH3","1.23, d (6.1)","1.24, d (6.1)"
103,"sugar E, β-d-olivose",,,,,
104,1E,"101.1, CH","4.46, dd (9.8, 1.0)","101.1, CH","4.46, brd (9.7)","4.47, dd (9.4, 1.2)"
105,2E,"37.2, CH2","1.72, m (complex, Ha)2.20, ddd (12.1, 3.8, 1.5, He)","37.2, CH2","1.63, m (complex, Ha) 2.20, ddd (10.7, 5.6, 1.5, He)","1.70−1.48, m (complex, Ha)2.21, ddd (10.7, 5.6, 1.5, He)"
106,3E,"80.4, CH","3.48, ddd (12.2, 8.3, 5.2)","80.5, CH","3.45, ddd (12.2, 8.3, 5.2)","3.47, ddd (12.2, 8.3, 5.2)"
107,4E,"75.5, CH","3.07, dd (8.8, 8.8)","75.4, CH","3.09, dd (8.7, 8.7)","3.09, dd (8.7, 8.7)"
108,4E-OH,,"4. 41, br s",,"4.49, br s","4.48, br s"
109,5E,"72.6, CH","3.40−3.31, m","72.5, CH","3.40−3.31, m","3.37, m"
110,6E,"18.1, CH3","1.37, d (6.1)","18.1, CH3","1.38, d (6.1)","1.38, d (6.1)"
111,"sugar F, α-l-rhodinose",,,,,
112,1F,"97.6, CH","4.92, br s","97.5, CH","4.92, br s","4.93, br s"
113,2F,"24.7, CH2","1.52, m (complex, Ha)2.03−1.88, m (complex, He)","24.6, CH2","1.52, m (complex, Ha)1.96−1.88, m (complex, He)","1.70−1.48, m (complex, Ha)2.04−1.88, m (complex, He)"
114,3F,"24.3, CH2","1.52, m (complex, Ha)2.03−1.88, m (complex, He)","24.2, CH2","1.54, m (complex, Ha)2.06−1.99, m (complex, He)","1.70−1.48, m (complex, Ha)2.04−1.88, m (complex, He)"
115,4F,"67.3, CH","3.61, br s","67.2, CH","3.61, br s","3.62, br s"
116,4F-OH,,n.o.,,n.o.,n.o.
117,5F,"67.9, CH","4.11, dq (6.6, 1.1)","67.9, CH","4.10, dq (6.5, 0.8)","4.12, q (6.6)"
118,6F,"17.2, CH3","1.19, d (6.6)","17.2, CH3","1.19, d (6.4)","1.20, d (6.4)"
119,,,,,,
120,,,,,,
121,1,"155.4, C",,,,
122,1-OH,,"9.66, br s","9.56, s","10.63, s",
123,2,"115.2, CH","6.55, s","6.76, s","7.16, br s",
124,3,"141.2, C",,,,
125,3-CH3,"21.2, CH3","2.24, s","2.29, s","2.48, s",
126,4,"121.0, CH","6.62, s","6.71, s","7.27, br s",
127,4a,"138.2, C",,,,
128,5,"36.5, CH2","2.73, d (15.8, Hα)","2.87, dd (16.0, 4.4, Hα)","8.13, d (8.7)",
